@RELATION user-item

@ATTRIBUTE user STRING
@ATTRIBUTE item STRING
@ATTRIBUTE rating NUMERIC


@DATA
701,74476228,3
701,68559485,1
701,88304149,3
701,52503871,4
701,1209016,4
655,99107038,2
701,15100914,1
655,1528629,3
701,4841406,2
655,89216421,3
701,17963617,3
701,77522417,4
701,89056103,3
655,79775986,4
655,14147479,3
655,76423928,2
655,71614478,3
655,8478319,1
655,11979974,3
655,71179576,3
701,67653031,2
701,20370431,3
539,64104781,3
701,53349101,3
539,66211014,2
539,81306288,3
701,39917131,1
539,17380488,3
539,46822571,4
539,91217118,3
539,1926589,2
539,60992209,1
701,66703496,3
539,73205697,2
539,41112091,3
701,13385260,4
701,11725882,4
701,77682184,4
701,16201983,2
701,77014514,3
539,76068551,3
539,14603033,3
539,12491045,3
539,85324704,1
701,23372091,4
655,66293468,2
539,90988663,4
701,67582502,3
539,54445651,3
701,11602496,2
539,1936363,2
655,78543531,3
701,64706999,3
655,71560165,3
539,37260501,1
701,25671361,4
539,99677218,2
655,1702066,3
539,14556837,3
701,6344074,2
701,77273513,3
655,72462639,1
701,8247183,4
701,29056981,1
539,37563911,2
33,69614247,1
655,87954089,3
701,80893728,4
539,63883063,4
539,73675971,3
539,79345729,3
539,85205712,3
539,74162962,3
539,76993066,2
655,68267799,3
379,1955175,2
539,71614478,2
655,60987641,1
539,526229,3
655,75286204,2
379,9702723,1
539,80947484,4
655,891436,2
379,56640741,1
379,11521425,1
33,73561246,2
379,28495341,3
33,82445156,1
379,68221676,1
539,82925846,2
379,23540241,2
157,16435287,3
539,67976638,3
539,8855569,1
157,77244359,3
539,73246025,3
379,3921282,3
537,6260076,2
539,3407958,1
539,7747321,3
157,5466246,1
33,8883995,2
539,79063887,2
539,91011063,2
157,92169736,1
655,16053451,1
539,75286204,2
157,1118030,4
537,78405037,1
539,74710553,1
33,17801250,2
655,70294292,3
379,69501553,1
157,4524232,1
537,60797755,4
655,66107883,1
379,91412514,1
655,75517415,2
655,77279367,3
157,87123785,1
379,16053451,3
539,10737055,2
537,66676859,3
157,68254523,3
655,73331759,1
539,74863964,3
379,74215323,3
539,4524232,3
655,71603224,4
539,69818709,2
539,11521425,2
379,83504220,1
655,61776943,1
157,13382403,1
655,2030307,3
539,12985555,4
379,50405761,2
537,17489120,1
